transaction_id,is_fraud
TXN_00001,False
TXN_00002,False
TXN_00003,False
TXN_00004,False
TXN_00005,False
TXN_00006,False
TXN_00007,False
TXN_00008,False
TXN_00009,False
TXN_00010,False
TXN_00011,False
TXN_00012,False
TXN_00013,False
TXN_00014,False
TXN_00015,False
TXN_00016,False
TXN_00017,True
TXN_00018,False
TXN_00019,False
TXN_00020,False
TXN_00021,False
TXN_00022,False
TXN_00023,False
TXN_00024,False
TXN_00025,False
TXN_00026,True
TXN_00027,False
TXN_00028,False
TXN_00029,False
TXN_00030,True
TXN_00031,False
TXN_00032,False
TXN_00033,True
TXN_00034,False
TXN_00035,False
TXN_00036,False
TXN_00037,False
TXN_00038,False
TXN_00039,False
TXN_00040,False
TXN_00041,False
TXN_00042,False
TXN_00043,False
TXN_00044,False
TXN_00045,False
TXN_00046,False
TXN_00047,False
TXN_00048,False
TXN_00049,True
TXN_00050,False
TXN_00051,False
TXN_00052,False
TXN_00053,False
TXN_00054,False
TXN_00055,False
TXN_00056,False
TXN_00057,False
TXN_00058,False
TXN_00059,False
TXN_00060,False
TXN_00061,False
TXN_00062,False
TXN_00063,False
TXN_00064,False
TXN_00065,False
TXN_00066,False
TXN_00067,False
TXN_00068,False
TXN_00069,False
TXN_00070,False
TXN_00071,False
TXN_00072,False
TXN_00073,False
TXN_00074,False
TXN_00075,False
TXN_00076,False
TXN_00077,False
TXN_00078,True
TXN_00079,False
TXN_00080,False
TXN_00081,False
TXN_00082,True
TXN_00083,True
TXN_00084,True
TXN_00085,False
TXN_00086,False
TXN_00087,False
TXN_00088,False
TXN_00089,False
TXN_00090,False
TXN_00091,True
TXN_00092,False
TXN_00093,False
TXN_00094,True
TXN_00095,False
TXN_00096,False
TXN_00097,True
TXN_00098,False
TXN_00099,False
TXN_00100,False
