transaction_id,timestamp,amount,payment_method,device_id,is_new_device,ip_country,billing_country,shipping_country,account_age_days,velocity_10min,avg_user_amount
TXN_00001,2026-08-01T10:02:00+00:00,28002.46,card,DEV_LEGIT_TRAVEL_1,True,AE,IN,IN,394,4,11464.62
TXN_00002,2026-08-01T10:04:00+00:00,2143.4,wallet,DEV_USER_160,False,IN,IN,,52,1,2285.73
TXN_00003,2026-08-01T10:06:00+00:00,443.51,card,DEV_USER_16,False,IN,IN,IN,570,0,431.08
TXN_00004,2026-08-01T10:08:00+00:00,626.12,netbanking,DEV_USER_170,False,IN,IN,IN,235,0,522.18
TXN_00005,2026-08-01T10:10:00+00:00,3153.53,wallet,DEV_USER_131,False,IN,IN,,661,1,4078.83
TXN_00006,2026-08-01T10:12:00+00:00,1572.7,wallet,DEV_USER_144,False,IN,IN,,521,2,1327.27
TXN_00007,2026-08-01T10:14:00+00:00,5980.69,UPI,DEV_USER_89,False,IN,IN,IN,634,0,8353.8
TXN_00008,2026-08-01T10:16:00+00:00,2279.44,UPI,DEV_USER_161,False,IN,IN,IN,75,2,3098.43
TXN_00009,2026-08-01T10:18:00+00:00,2800.11,wallet,DEV_USER_169,False,IN,IN,IN,1081,2,3052.0
TXN_00010,2026-08-01T10:20:00+00:00,1896.68,card,DEV_USER_147,False,IN,IN,IN,689,1,1960.76
TXN_00011,2026-08-01T10:22:00+00:00,1194.75,card,DEV_USER_36,False,IN,IN,IN,1087,0,1127.91
TXN_00012,2026-08-01T10:24:00+00:00,6183.39,card,DEV_USER_82,True,IN,IN,IN,257,0,5281.1
TXN_00013,2026-08-01T10:26:00+00:00,5843.93,netbanking,DEV_USER_106,False,IN,IN,IN,575,0,7148.8
TXN_00014,2026-08-01T10:28:00+00:00,17389.86,card,DEV_LEGIT_TRAVEL_25,True,US,IN,IN,811,5,18295.28
TXN_00015,2026-08-01T10:30:00+00:00,4811.25,card,DEV_USER_176,True,IN,IN,,991,0,4820.2
TXN_00016,2026-08-01T10:32:00+00:00,5724.95,netbanking,DEV_USER_48,False,IN,IN,IN,296,0,4320.09
TXN_00017,2026-08-01T10:34:00+00:00,35581.55,card,DEV_FRAUD_5,True,SG,IN,US,3,7,1165.08
TXN_00018,2026-08-01T10:36:00+00:00,6086.44,UPI,DEV_USER_46,False,IN,IN,IN,1018,2,5233.83
TXN_00019,2026-08-01T10:38:00+00:00,2049.59,wallet,DEV_USER_199,True,IN,IN,IN,794,2,1742.8
TXN_00020,2026-08-01T10:40:00+00:00,5965.5,UPI,DEV_USER_134,False,IN,IN,IN,101,0,6054.76
TXN_00021,2026-08-01T10:42:00+00:00,5907.84,wallet,DEV_USER_133,False,IN,IN,IN,403,1,5622.16
TXN_00022,2026-08-01T10:44:00+00:00,6212.05,netbanking,DEV_USER_119,False,IN,IN,IN,126,2,6296.38
TXN_00023,2026-08-01T10:46:00+00:00,43195.74,card,DEV_LEGIT_TRAVEL_15,True,SG,IN,IN,919,3,11056.11
TXN_00024,2026-08-01T10:48:00+00:00,7165.19,card,DEV_USER_101,False,IN,IN,IN,381,1,7682.89
TXN_00025,2026-08-01T10:50:00+00:00,1695.26,wallet,DEV_USER_24,False,IN,IN,IN,350,2,2011.61
TXN_00026,2026-08-01T10:52:00+00:00,9062.27,netbanking,DEV_GEO_3,False,AE,IN,,226,3,4268.73
TXN_00027,2026-08-01T10:54:00+00:00,7603.06,wallet,DEV_USER_141,False,IN,IN,IN,701,2,9861.51
TXN_00028,2026-08-01T10:56:00+00:00,1380.78,card,DEV_USER_46,False,IN,IN,,645,1,1635.02
TXN_00029,2026-08-01T10:58:00+00:00,2381.37,card,DEV_USER_31,False,IN,IN,IN,22,2,2886.97
TXN_00030,2026-08-01T11:00:00+00:00,24905.1,netbanking,DEV_FRAUD_9,True,SG,IN,US,0,11,509.24
TXN_00031,2026-08-01T11:02:00+00:00,3858.12,wallet,DEV_USER_114,True,IN,IN,IN,516,2,3173.27
TXN_00032,2026-08-01T11:04:00+00:00,6578.96,card,DEV_USER_13,False,IN,IN,,729,0,4712.51
TXN_00033,2026-08-01T11:06:00+00:00,28123.71,netbanking,DEV_FRAUD_6,True,SG,IN,US,0,4,341.55
TXN_00034,2026-08-01T11:08:00+00:00,1374.55,netbanking,DEV_USER_157,False,IN,IN,IN,1187,2,1019.83
TXN_00035,2026-08-01T11:10:00+00:00,4673.83,UPI,DEV_USER_24,False,IN,IN,IN,791,0,5640.16
TXN_00036,2026-08-01T11:12:00+00:00,612.91,wallet,DEV_USER_35,False,IN,IN,IN,689,2,570.62
TXN_00037,2026-08-01T11:14:00+00:00,1751.5,UPI,DEV_USER_28,False,IN,IN,IN,1098,0,1728.61
TXN_00038,2026-08-01T11:16:00+00:00,7477.74,netbanking,DEV_USER_110,False,IN,IN,IN,1091,2,10439.07
TXN_00039,2026-08-01T11:18:00+00:00,1124.73,wallet,DEV_USER_134,False,IN,IN,IN,383,2,884.24
TXN_00040,2026-08-01T11:20:00+00:00,1629.09,UPI,DEV_USER_7,False,IN,IN,IN,439,2,2279.41
TXN_00041,2026-08-01T11:22:00+00:00,2736.96,card,DEV_USER_3,False,IN,IN,IN,536,0,2316.06
TXN_00042,2026-08-01T11:24:00+00:00,2659.0,UPI,DEV_USER_30,False,IN,IN,IN,1180,2,3637.75
TXN_00043,2026-08-01T11:26:00+00:00,1632.72,netbanking,DEV_USER_173,False,IN,IN,IN,87,2,1156.95
TXN_00044,2026-08-01T11:28:00+00:00,3738.88,netbanking,DEV_USER_119,False,IN,IN,IN,129,2,3138.7
TXN_00045,2026-08-01T11:30:00+00:00,2592.47,UPI,DEV_USER_54,False,IN,IN,IN,739,0,3566.44
TXN_00046,2026-08-01T11:32:00+00:00,346.27,wallet,DEV_USER_161,False,IN,IN,,812,0,372.64
TXN_00047,2026-08-01T11:34:00+00:00,6037.17,netbanking,DEV_USER_182,True,IN,IN,IN,1032,0,5416.95
TXN_00048,2026-08-01T11:36:00+00:00,2490.77,netbanking,DEV_USER_45,False,IN,IN,IN,428,0,2378.73
TXN_00049,2026-08-01T11:38:00+00:00,24306.53,card,DEV_FRAUD_4,True,SG,IN,US,2,11,1152.17
TXN_00050,2026-08-01T11:40:00+00:00,6226.71,card,DEV_USER_197,False,IN,IN,IN,1072,2,8681.13
TXN_00051,2026-08-01T11:42:00+00:00,388.77,wallet,DEV_USER_183,False,IN,IN,,651,0,446.95
TXN_00052,2026-08-01T11:44:00+00:00,787.9,wallet,DEV_USER_12,False,IN,IN,IN,654,0,836.79
TXN_00053,2026-08-01T11:46:00+00:00,7147.87,netbanking,DEV_USER_52,False,IN,IN,IN,668,1,8126.41
TXN_00054,2026-08-01T11:48:00+00:00,1344.22,UPI,DEV_USER_4,False,IN,IN,IN,224,0,1389.95
TXN_00055,2026-08-01T11:50:00+00:00,2241.31,netbanking,DEV_USER_147,False,IN,IN,,708,2,2140.27
TXN_00056,2026-08-01T11:52:00+00:00,28829.42,card,DEV_LEGIT_TRAVEL_22,True,SG,IN,IN,288,6,8914.6
TXN_00057,2026-08-01T11:54:00+00:00,1513.97,wallet,DEV_USER_158,False,IN,IN,IN,420,2,1826.94
TXN_00058,2026-08-01T11:56:00+00:00,720.51,wallet,DEV_USER_146,False,IN,IN,IN,974,0,694.91
TXN_00059,2026-08-01T11:58:00+00:00,5710.71,wallet,DEV_USER_121,False,IN,IN,IN,543,1,5217.66
TXN_00060,2026-08-01T12:00:00+00:00,5354.93,netbanking,DEV_USER_117,False,IN,IN,,246,1,5263.48
TXN_00061,2026-08-01T12:02:00+00:00,2329.83,netbanking,DEV_USER_155,False,IN,IN,IN,845,2,2882.95
TXN_00062,2026-08-01T12:04:00+00:00,5230.67,netbanking,DEV_USER_137,False,IN,IN,IN,503,2,4158.14
TXN_00063,2026-08-01T12:06:00+00:00,3910.76,UPI,DEV_USER_88,False,IN,IN,IN,897,1,4121.04
TXN_00064,2026-08-01T12:08:00+00:00,5583.65,card,DEV_USER_170,False,IN,IN,IN,1190,1,3860.86
TXN_00065,2026-08-01T12:10:00+00:00,2670.49,UPI,DEV_USER_114,False,IN,IN,IN,157,2,1834.62
TXN_00066,2026-08-01T12:12:00+00:00,6193.61,wallet,DEV_USER_84,False,IN,IN,IN,200,0,7764.48
TXN_00067,2026-08-01T12:14:00+00:00,7235.72,UPI,DEV_USER_194,False,IN,IN,,1103,1,6598.88
TXN_00068,2026-08-01T12:16:00+00:00,1645.77,netbanking,DEV_USER_77,False,IN,IN,IN,638,1,1932.52
TXN_00069,2026-08-01T12:18:00+00:00,7923.29,UPI,DEV_USER_157,False,IN,IN,IN,276,1,5149.57
TXN_00070,2026-08-01T12:20:00+00:00,7746.41,UPI,DEV_USER_181,False,IN,IN,IN,239,1,10012.57
TXN_00071,2026-08-01T12:22:00+00:00,5647.55,wallet,DEV_USER_161,False,IN,IN,IN,796,1,5851.4
TXN_00072,2026-08-01T12:24:00+00:00,3851.48,card,DEV_USER_143,False,IN,IN,IN,869,0,3199.72
TXN_00073,2026-08-01T12:26:00+00:00,1091.84,UPI,DEV_USER_19,False,IN,IN,,1011,2,1036.58
TXN_00074,2026-08-01T12:28:00+00:00,768.84,wallet,DEV_USER_117,False,IN,IN,IN,886,2,571.89
TXN_00075,2026-08-01T12:30:00+00:00,4461.2,wallet,DEV_USER_99,False,IN,IN,,30,2,4454.62
TXN_00076,2026-08-01T12:32:00+00:00,5725.83,netbanking,DEV_USER_106,False,IN,IN,IN,83,0,6038.0
TXN_00077,2026-08-01T12:34:00+00:00,994.0,wallet,DEV_USER_177,True,IN,IN,IN,1093,1,966.12
TXN_00078,2026-08-01T12:36:00+00:00,10899.15,UPI,DEV_GEO_8,False,GB,IN,,352,3,3823.08
TXN_00079,2026-08-01T12:38:00+00:00,5504.18,netbanking,DEV_USER_157,True,IN,IN,IN,37,1,5301.78
TXN_00080,2026-08-01T12:40:00+00:00,4634.33,netbanking,DEV_USER_108,False,IN,IN,IN,618,1,3401.63
TXN_00081,2026-08-01T12:42:00+00:00,4821.33,netbanking,DEV_USER_187,False,IN,IN,IN,984,2,3544.95
TXN_00082,2026-08-01T12:44:00+00:00,59566.42,UPI,DEV_AMBIG_10,True,IN,IN,IN,72,1,1253.64
TXN_00083,2026-08-01T12:46:00+00:00,9837.63,netbanking,DEV_GEO_5,False,AE,IN,,173,2,4502.5
TXN_00084,2026-08-01T12:48:00+00:00,9461.98,card,DEV_FRAUD_10,True,SG,IN,US,5,6,1056.9
TXN_00085,2026-08-01T12:50:00+00:00,1485.65,card,DEV_USER_125,False,IN,IN,IN,82,1,2060.98
TXN_00086,2026-08-01T12:52:00+00:00,4804.8,card,DEV_USER_127,False,IN,IN,IN,799,0,5422.38
TXN_00087,2026-08-01T12:54:00+00:00,1421.54,netbanking,DEV_USER_14,False,IN,IN,IN,252,0,1043.52
TXN_00088,2026-08-01T12:56:00+00:00,2480.8,card,DEV_USER_98,False,IN,IN,IN,552,0,2541.22
TXN_00089,2026-08-01T12:58:00+00:00,2381.46,wallet,DEV_USER_98,False,IN,IN,IN,99,0,3177.27
TXN_00090,2026-08-01T13:00:00+00:00,7653.85,wallet,DEV_USER_157,False,IN,IN,IN,701,1,6227.71
TXN_00091,2026-08-01T13:02:00+00:00,8543.43,wallet,DEV_GEO_15,False,AE,IN,,153,3,3851.61
TXN_00092,2026-08-01T13:04:00+00:00,4207.62,card,DEV_USER_81,False,IN,IN,IN,154,0,3908.87
TXN_00093,2026-08-01T13:06:00+00:00,5515.45,netbanking,DEV_USER_57,False,IN,IN,IN,84,0,6042.27
